Material_ID,Material_Name,Category,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg,Biodegradable
301,Industrial-Grade Balsa Wood,Wood,182,12.41,3.98,0.455,Yes
302,Waterproof ABS Plastic,Plastic,1153,40.3,2.42,3.435,No
303,Medical-Grade ABS Plastic,Plastic,1022,47.19,5.9,3.657,No
304,Food-Grade Palm Leaf,Eco,499,14.96,1.8,0.399,Yes
305,Laminated Polyurethane Foam,Plastic,32,0.58,2.31,3.779,No
306,Heavy-Duty Bamboo Sheet,Wood,868,60.09,2.8,0.687,Yes
307,Food-Grade Hemp Composite,Eco,1116,50.74,4.41,1.015,Yes
308,Anti-Static Hardboard,Wood,937,31.22,2.62,0.801,Yes
309,Heavy-Duty PET Plastic,Plastic,1767,75.86,1.52,2.601,No
310,Food-Grade Hardboard,Wood,883,29.42,2.65,0.686,Yes
311,Double-Wall Teflon Coating,Plastic,3309,45.12,12.84,11.231,No
312,Double-Wall Bubble Wrap (LDPE),Plastic,1399,18.25,3.57,4.116,No
313,Double-Wall Hardboard,Wood,1315,52.62,2.81,0.955,Yes
314,Commercial-Grade Hardboard,Wood,928,30.92,1.95,0.722,Yes
315,Industrial-Grade Teflon Coating,Plastic,2513,31.15,9.14,9.138,No
316,Recycled Cotton Canvas,Eco,1525,36.6,2.01,0.915,Yes
317,Commercial-Grade Aluminum Foil,Metal,2826,47.09,4.4,12.558,No
318,Commercial-Grade Kraft Paper,Paper,805,50.31,1.16,0.805,Yes
319,Food-Grade PVC Film,Plastic,1267,43.85,2.63,2.436,No
320,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No
321,Industrial-Grade Hardboard,Wood,1006,36.58,2.01,0.782,Yes
322,Laminated ABS Plastic,Plastic,1173,49.2,2.87,4.131,No
323,Double-Wall Mushroom Mycelium,Eco,232,1.48,5.77,0.722,Yes
324,Waterproof Sheep Wool,Eco,1386,9.69,3.72,0.533,Yes
325,Medical-Grade Balsa Wood,Wood,156,11.7,10.24,0.468,Yes
326,Fire-Retardant Cornstarch Foam,Eco,44,0.55,3.01,1.565,Yes
327,Anti-Static PLA Bioplastic,Eco,1228,59.44,3.88,1.961,Yes
328,Fire-Retardant Bagasse (Sugarcane),Eco,129,21.45,2.19,0.38,Yes
329,Reinforced Hardboard,Wood,1101,45.89,2.39,0.785,Yes
330,Fire-Retardant ABS Plastic,Plastic,1107,42.58,2.9,3.9,No
331,Perforated Steel Strap,Metal,7197,328.07,1.35,2.05,No
332,Standard Wax Paper,Paper,918,15.3,1.22,1.122,Yes
333,Standard Styrofoam (EPS),Plastic,24,0.39,1.46,3.207,No
334,Reinforced Corrugated Cardboard,Paper,705,8.82,1.02,0.97,Yes
335,Reinforced ABS Plastic,Plastic,1225,58.91,2.55,3.348,No
336,Commercial-Grade Teflon Coating,Plastic,2112,24,8.06,7.681,No
337,Insulated Borosilicate Glass,Glass,1150,37.14,4.95,1.362,No
338,Heavy-Duty PLA Bioplastic,Eco,1690,88.07,4.11,2.265,Yes
339,Single-Ply Bamboo Sheet,Wood,636,31.82,1.7,0.545,Yes
340,Commercial-Grade Wax Paper,Paper,890,14.84,1.25,1.088,Yes
341,Laminated Hardboard,Wood,972,35.35,2.47,0.894,Yes
342,Anti-Static Tissue Paper,Paper,253,1.01,2.13,0.891,Yes
343,Fire-Retardant Corrugated Cardboard,Paper,658,6.58,1.2,1.167,Yes
344,Reinforced Wax Paper,Paper,1120,23.34,1.62,1.255,Yes
345,Lightweight Borosilicate Glass,Glass,1739,46.8,2.63,0.965,No
346,Industrial-Grade Polycarbonate,Plastic,1321,78.03,3.08,4.182,No
347,Standard Acrylic Sheet,Plastic,1172,69.51,2.48,3.475,No
348,Anti-Static Mushroom Mycelium,Eco,151,0.81,4.93,0.554,Yes
349,Woven Wax Paper,Paper,981,19.32,1.55,1.199,Yes
350,Industrial-Grade Tissue Paper,Paper,280,1.22,1.68,0.897,Yes
351,Anti-Static Nylon Fabric,Plastic,1095,57.11,4,5.235,No
352,Anti-Static Steel Strap,Metal,7792,399.61,1.68,2.198,No
353,Waterproof Glass Jar,Glass,2670,48.54,1.75,0.854,No
354,Single-Ply Tissue Paper,Paper,233,0.72,1.24,0.745,Yes
355,Single-Ply Molded Pulp,Paper,280,1.45,0.83,0.653,Yes
356,Recycled Molded Pulp,Paper,285,1.71,0.86,0.399,Yes
357,Medical-Grade Acrylic Sheet,Plastic,1185,84.38,7.53,4.219,No
358,Insulated Glass Jar,Glass,1206,28.94,2.31,0.926,No
359,Double-Wall Nylon Fabric,Plastic,1789,112.01,4.98,7.26,No
360,Industrial-Grade Nylon Fabric,Plastic,1229,69.97,3.21,5.345,No
361,Double-Wall Jute Burlap,Eco,1917,53.09,1.89,0.688,Yes
362,Single-Ply PLA Bioplastic,Eco,1165,43.83,2.34,1.69,Yes
363,UV-Stabilized Cork Sheet,Wood,238,5.45,5.55,0.357,Yes
364,Laminated Glass Jar,Glass,2843,62.04,2.17,1.075,No
365,Perforated Balsa Wood,Wood,143,7.93,3.82,0.396,Yes
366,Heavy-Duty Polycarbonate,Plastic,1571,91.61,3.95,4.591,No
367,Commercial-Grade Bagasse (Sugarcane),Eco,123,20.43,1.61,0.306,Yes
368,Laminated Cornstarch Foam,Eco,42,0.57,2.67,1.488,Yes
369,Lightweight Teflon Coating,Plastic,1700,19.31,6.95,6.953,No
370,Double-Wall Balsa Wood,Wood,249,18.66,5.81,0.581,Yes
371,Laminated Corrugated Cardboard,Paper,656,7.16,1.11,1.163,Yes
372,Double-Wall Borosilicate Glass,Glass,3284,106.02,4.71,1.512,No
373,Recycled Cork Sheet,Wood,249,4.67,3.74,0.187,Yes
374,Woven Nylon Fabric,Plastic,1303,80.32,4.02,5.664,No
375,Reinforced Steel Strap,Metal,9125,584.93,1.52,2.145,No
376,Commercial-Grade Palm Leaf,Eco,498,14.93,1.25,0.398,Yes
377,Food-Grade Balsa Wood,Wood,167,10.47,5.5,0.419,Yes
378,Reinforced Borosilicate Glass,Glass,2781,93.53,4.05,1.257,No
379,Lightweight Pine Wood Crate,Wood,403,28.18,1.81,0.453,Yes
380,Fire-Retardant Borosilicate Glass,Glass,2496,67.16,4.58,1.455,No
381,Fire-Retardant Molded Pulp,Paper,318,2.12,1.45,0.878,Yes
382,Fire-Retardant Jute Burlap,Eco,1480,34.15,1.86,0.673,Yes
383,Double-Wall Cork Sheet,Wood,374,9.34,6.64,0.436,Yes
384,UV-Stabilized Molded Pulp,Paper,298,2.18,1.39,0.833,Yes
385,Medical-Grade Polyurethane Foam,Plastic,30,0.59,5.02,3.546,No
386,Anti-Static Polycarbonate,Plastic,1236,66.95,4.04,4.306,No
387,Perforated Pine Wood Crate,Wood,436,27.16,2.13,0.485,Yes
388,Double-Wall PLA Bioplastic,Eco,1917,111.28,4.62,2.597,Yes
389,Perforated PVC Film,Plastic,1185,36.46,2.01,2.532,No
390,UV-Stabilized HDPE Container,Plastic,976,28.25,1.87,2.342,No
391,Waterproof Wax Paper,Paper,1035,15.68,1.51,1.265,Yes
392,Fire-Retardant Plywood,Wood,741,45.57,3.88,0.808,Yes
393,Lightweight Bamboo Sheet,Wood,576,37,1.94,0.555,Yes
394,Commercial-Grade Borosilicate Glass,Glass,2174,58.5,3.07,1.073,No
395,Medical-Grade Recycled Denim,Eco,291,5.82,4.66,0.699,Yes
396,Woven ABS Plastic,Plastic,1184,53.82,2.69,3.529,No
397,Medical-Grade Styrofoam (EPS),Plastic,25,0.48,4.48,3.942,No
398,Perforated Polycarbonate,Plastic,1062,51.15,3.03,3.738,No
399,Industrial-Grade Cotton Canvas,Eco,1683,48.97,2.47,1.683,Yes
400,Commercial-Grade Tissue Paper,Paper,241,0.96,1.52,0.772,Yes
401,Heavy-Duty Glass Jar,Glass,3390,73.01,2.19,1.001,No
402,UV-Stabilized ABS Plastic,Plastic,1059,44.79,2.85,3.787,No
403,Standard Seaweed Film,Eco,1045,14.93,3.98,0.199,Yes
404,Woven Cotton Canvas,Eco,1703,53.69,2.95,1.703,Yes
405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes
406,Waterproof Mushroom Mycelium,Eco,170,0.82,4.33,0.567,Yes
407,Anti-Static Hemp Composite,Eco,1149,52.23,4.24,1.149,Yes
408,Lightweight PLA Bioplastic,Eco,999,48.34,2.54,1.631,Yes
409,Woven Acrylic Sheet,Plastic,1282,89.9,3.21,3.803,No
410,Laminated Balsa Wood,Wood,184,12.53,5.12,0.543,Yes
411,Anti-Static Teflon Coating,Plastic,2283,25.94,11.62,9.132,No
412,Insulated PVC Film,Plastic,665,27.64,2.95,3.071,No
413,Laminated Sheep Wool,Eco,1395,11.7,4.37,0.634,Yes
414,Perforated Tissue Paper,Paper,231,0.82,1.7,0.822,Yes
415,Perforated Palm Leaf,Eco,468,12.49,1.37,0.416,Yes
416,Food-Grade Molded Pulp,Paper,308,2.06,1.54,0.72,Yes
417,Lightweight Steel Strap,Metal,6082,311.88,1.05,1.754,No
418,Recycled Wax Paper,Paper,927,13.9,1.11,0.68,Yes
419,Perforated Nylon Fabric,Plastic,1064,49.35,3.39,5.141,No
420,Double-Wall Sheep Wool,Eco,1871,17.27,4.91,0.672,Yes
421,Waterproof Recycled Denim,Eco,316,4.79,1.84,0.632,Yes
422,Insulated Nylon Fabric,Plastic,599,37.5,5,6.25,No
423,Single-Ply Cornstarch Foam,Eco,36,0.35,1.62,1.091,Yes
424,Heavy-Duty Tissue Paper,Paper,335,1.44,2.17,0.99,Yes
425,Insulated Pine Wood Crate,Wood,241,20.23,3.08,0.578,Yes
426,Anti-Static Kraft Paper,Paper,795,49.66,1.53,0.874,Yes
427,Waterproof Cotton Canvas,Eco,1678,40.69,2.69,1.678,Yes
428,Standard Aluminum Foil,Metal,2753,45.89,4.08,12.236,No
429,Perforated Jute Burlap,Eco,1216,24.94,1.37,0.52,Yes
430,Recycled Bamboo Sheet,Wood,678,39.23,1.83,0.349,Yes
431,Standard Tissue Paper,Paper,247,0.99,1.48,0.79,Yes
432,Lightweight Nylon Fabric,Plastic,942,49.13,2.76,4.606,No
433,Standard Molded Pulp,Paper,296,1.97,0.99,0.691,Yes
434,Single-Ply Polypropylene (PP),Plastic,849,25.55,1.17,1.971,No
435,Commercial-Grade Acrylic Sheet,Plastic,1209,71.72,2.69,3.586,No
436,Heavy-Duty Polyurethane Foam,Plastic,40,0.72,2.44,3.69,No
437,Insulated Kraft Paper,Paper,394,29.55,1.73,0.946,Yes
438,Lightweight Glass Jar,Glass,2029,40.59,1.37,0.731,No
439,Commercial-Grade Tin Plate,Metal,8110,206.63,1.95,8.265,No
440,Medical-Grade PVC Film,Plastic,1248,51.82,5.18,2.879,No
441,Recycled HDPE Container,Plastic,987,23.37,1.22,1.184,No
442,Standard Hemp Composite,Eco,1152,52.35,3.04,1.047,Yes
443,Perforated Tin Plate,Metal,7044,159.52,1.97,7.976,No
444,Heavy-Duty Polypropylene (PP),Plastic,1176,48.96,1.96,2.518,No
445,Heavy-Duty Wax Paper,Paper,1133,20.34,1.63,1.278,Yes
446,Anti-Static Recycled Denim,Eco,308,5.13,2.3,0.677,Yes
447,Laminated Bagasse (Sugarcane),Eco,138,25.14,2.2,0.409,Yes
448,Reinforced Cork Sheet,Wood,293,7.62,5.28,0.335,Yes
449,Recycled Mushroom Mycelium,Eco,155,0.74,3.25,0.309,Yes
450,UV-Stabilized Pine Wood Crate,Wood,518,39.92,2.9,0.622,Yes
451,Anti-Static Borosilicate Glass,Glass,2224,59.83,4.19,1.207,No
452,UV-Stabilized Palm Leaf,Eco,491,16.2,1.65,0.471,Yes
453,Insulated Mushroom Mycelium,Eco,72,0.46,5.35,0.573,Yes
454,Commercial-Grade Polycarbonate,Plastic,1161,62.88,2.84,3.676,No
455,Standard ABS Plastic,Plastic,995,38.28,1.91,2.966,No
456,Medical-Grade HDPE Container,Plastic,930,29.38,3.82,2.233,No
457,Industrial-Grade Tin Plate,Metal,9058,251.75,2.08,9.231,No
458,Industrial-Grade Molded Pulp,Paper,335,2.44,1.12,0.782,Yes
459,Anti-Static Palm Leaf,Eco,512,15.36,1.72,0.451,Yes
460,Food-Grade PET Plastic,Plastic,1388,55.32,1.66,2.213,No
461,Single-Ply Cork Sheet,Wood,220,3.57,3.27,0.275,Yes
462,Perforated Plywood,Wood,560,30.61,2.63,0.574,Yes
463,Food-Grade Styrofoam (EPS),Plastic,26,0.42,2.34,3.436,No
464,Fire-Retardant Tissue Paper,Paper,269,1.08,2.2,1.019,Yes
465,Commercial-Grade Glass Jar,Glass,2390,47.8,1.51,0.765,No
466,Single-Ply Sheep Wool,Eco,1129,6.76,2.47,0.434,Yes
467,Waterproof Bamboo Sheet,Wood,761,44.49,2.49,0.653,Yes
468,Food-Grade Teflon Coating,Plastic,2118,24.06,11.55,7.701,No
469,Standard Sheep Wool,Eco,1349,10.38,3.32,0.519,Yes
470,Single-Ply Mushroom Mycelium,Eco,138,0.57,2.86,0.46,Yes
471,Heavy-Duty Kraft Paper,Paper,1027,69.12,1.52,0.948,Yes
472,Food-Grade Kraft Paper,Paper,768,48,1.58,0.768,Yes
473,Perforated Teflon Coating,Plastic,1944,19.64,8.64,7.855,No
474,Anti-Static Cork Sheet,Wood,234,4.89,5.47,0.322,Yes
475,Industrial-Grade Acrylic Sheet,Plastic,1343,86.89,2.84,3.983,No
476,Anti-Static ABS Plastic,Plastic,1000,38.48,2.69,3.28,No
477,Anti-Static Acrylic Sheet,Plastic,1183,70.16,3.51,3.859,No
478,Lightweight Balsa Wood,Wood,127,7.96,3.14,0.358,Yes
479,Anti-Static Glass Jar,Glass,2474,49.49,2.08,0.871,No
480,Industrial-Grade Borosilicate Glass,Glass,2363,69.35,3.18,1.165,No
481,Medical-Grade Cork Sheet,Wood,237,5.93,11.87,0.356,Yes
482,Standard Mushroom Mycelium,Eco,155,0.83,3.63,0.518,Yes
483,Fire-Retardant PET Plastic,Plastic,1450,57.78,1.58,2.732,No
484,Double-Wall Kraft Paper,Paper,1158,86.84,1.7,1.081,Yes
485,Laminated Palm Leaf,Eco,546,17.86,1.67,0.516,Yes
486,Recycled ABS Plastic,Plastic,1053,36.46,1.82,1.884,No
487,Recycled Styrofoam (EPS),Plastic,25,0.35,1.33,1.952,No
488,Industrial-Grade Cornstarch Foam,Eco,45,0.62,2.27,1.363,Yes
489,Anti-Static Jute Burlap,Eco,1361,31.4,1.76,0.576,Yes
490,Double-Wall Hemp Composite,Eco,1726,94.12,4.85,1.464,Yes
491,UV-Stabilized Cotton Canvas,Eco,1523,44.68,3.13,1.828,Yes
492,Recycled Aluminum Foil,Metal,2713,40.69,3.62,7.235,No
493,Laminated Pine Wood Crate,Wood,550,41.98,2.8,0.65,Yes
494,Industrial-Grade Bagasse (Sugarcane),Eco,128,23.26,1.6,0.32,Yes
495,Perforated Bagasse (Sugarcane),Eco,103,15.22,1.57,0.285,Yes
496,Insulated Seaweed Film,Eco,524,8.99,6.39,0.24,Yes
497,Laminated Jute Burlap,Eco,1403,35.31,1.65,0.638,Yes
498,Food-Grade Cork Sheet,Wood,243,5.06,6.07,0.304,Yes
499,Waterproof Polypropylene (PP),Plastic,1026,36.08,1.73,2.381,No
500,Standard PET Plastic,Plastic,1377,54.9,1.1,2.196,No
501,Perforated PET Plastic,Plastic,1181,41.82,1.15,2.091,No
502,Anti-Static Corrugated Cardboard,Paper,607,6.07,1.13,1.002,Yes
503,Recycled PET Plastic,Plastic,1360,48.77,0.98,1.3,No
504,Lightweight Bubble Wrap (LDPE),Plastic,759,8.25,2.04,2.691,No
505,Reinforced Tissue Paper,Paper,295,1.48,1.92,0.866,Yes
506,Reinforced Polyurethane Foam,Plastic,36,0.76,2.23,3.337,No
507,Double-Wall PET Plastic,Plastic,2124,101.6,1.81,3.161,No
508,Fire-Retardant Polyurethane Foam,Plastic,34,0.57,2.63,4.018,No
509,Food-Grade Tin Plate,Metal,7960,202.79,2.74,8.112,No
510,Reinforced Bamboo Sheet,Wood,855,68.68,2.78,0.672,Yes
511,Commercial-Grade Styrofoam (EPS),Plastic,25,0.4,1.58,3.308,No
512,Recycled PLA Bioplastic,Eco,1264,55.07,2.57,1.101,Yes
513,Insulated HDPE Container,Plastic,489,15.46,2.14,2.35,No
514,Heavy-Duty Borosilicate Glass,Glass,2983,86.44,4.32,1.358,No
515,Insulated Polyurethane Foam,Plastic,15,0.3,2.74,3.625,No
516,Commercial-Grade PET Plastic,Plastic,1311,52.25,1.1,2.09,No
517,UV-Stabilized Corrugated Cardboard,Paper,575,6.33,1.07,1.035,Yes
518,Heavy-Duty Pine Wood Crate,Wood,624,47.05,2.69,0.576,Yes
519,Medical-Grade Cornstarch Foam,Eco,40,0.59,5.94,1.426,Yes
520,Single-Ply Recycled Denim,Eco,265,3.43,1.25,0.529,Yes
521,Perforated Mushroom Mycelium,Eco,135,0.64,3.86,0.502,Yes
522,Reinforced Kraft Paper,Paper,922,72.04,1.37,0.845,Yes
523,Fire-Retardant Seaweed Film,Eco,1192,17.04,6.19,0.268,Yes
524,Fire-Retardant Pine Wood Crate,Wood,567,39.67,3.09,0.67,Yes
525,Waterproof Teflon Coating,Plastic,2440,25.21,9.68,8.874,No
526,Commercial-Grade Sheep Wool,Eco,1341,10.31,3.47,0.516,Yes
527,Anti-Static Aluminum Foil,Metal,2619,43.65,5.43,12.803,No
528,Woven Kraft Paper,Paper,880,65.02,1.43,0.88,Yes
529,UV-Stabilized Styrofoam (EPS),Plastic,26,0.46,2.2,4.144,No
530,Recycled Kraft Paper,Paper,801,45.05,0.99,0.481,Yes
531,Medical-Grade Polycarbonate,Plastic,1142,74.24,8,4.34,No
532,Single-Ply Acrylic Sheet,Plastic,1070,49.38,2.02,3.174,No
533,Perforated PLA Bioplastic,Eco,1108,47.65,3.06,1.787,Yes
534,Double-Wall Cotton Canvas,Eco,2338,74.82,3.66,2.182,Yes
535,Laminated Tin Plate,Metal,8415,233.88,2.46,10.135,No
536,Medical-Grade Polypropylene (PP),Plastic,899,41.71,4.17,2.503,No
537,Heavy-Duty Molded Pulp,Paper,389,2.79,1.4,0.838,Yes
538,Commercial-Grade Hemp Composite,Eco,1104,50.19,3.06,1.004,Yes
539,Reinforced Bubble Wrap (LDPE),Plastic,1122,15.25,2.91,3.242,No
540,Commercial-Grade Steel Strap,Metal,8043,412.48,1.3,2.062,No
541,Medical-Grade Pine Wood Crate,Wood,491,41.2,5.89,0.589,Yes
542,Fire-Retardant HDPE Container,Plastic,1058,27.84,1.97,2.5,No
543,Standard Balsa Wood,Wood,166,10.37,3.63,0.415,Yes
544,Waterproof Steel Strap,Metal,8472,394.96,1.42,2.172,No
545,Reinforced Mushroom Mycelium,Eco,178,1.18,4.49,0.542,Yes
546,Recycled Nylon Fabric,Plastic,1202,56.44,2.82,3.135,No
547,Single-Ply Bubble Wrap (LDPE),Plastic,866,7.32,1.84,2.729,No
548,UV-Stabilized Glass Jar,Glass,2529,55.63,2.12,0.971,No
549,Single-Ply Hemp Composite,Eco,1036,36.64,2.43,0.942,Yes
550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes
551,Perforated Sheep Wool,Eco,1185,8.1,3.56,0.506,Yes
552,Reinforced Palm Leaf,Eco,622,23.32,1.62,0.456,Yes
553,UV-Stabilized Recycled Denim,Eco,287,5.27,2.15,0.69,Yes
554,Heavy-Duty Balsa Wood,Wood,206,13.88,4.86,0.476,Yes
555,Insulated Tissue Paper,Paper,127,0.61,2.43,0.973,Yes
556,Recycled Jute Burlap,Eco,1341,27.84,1.11,0.309,Yes
557,Commercial-Grade Cork Sheet,Wood,249,5.18,4.35,0.311,Yes
558,Waterproof Corrugated Cardboard,Paper,663,6.03,0.97,0.995,Yes
559,Waterproof PET Plastic,Plastic,1587,57.52,1.38,2.531,No
560,Standard PVC Film,Plastic,1292,44.73,1.79,2.485,No
561,Heavy-Duty HDPE Container,Plastic,1196,33.91,1.76,2.209,No
562,Perforated Bamboo Sheet,Wood,617,35.24,2.26,0.587,Yes
563,Perforated Bubble Wrap (LDPE),Plastic,851,8.22,2.49,2.981,No
564,UV-Stabilized Sheep Wool,Eco,1263,10.69,4.35,0.583,Yes
565,Anti-Static HDPE Container,Plastic,939,24.7,1.8,2.065,No
566,Woven Teflon Coating,Plastic,2529,33.97,10.87,9.197,No
567,Insulated Hemp Composite,Eco,566,30.85,4.77,1.234,Yes
568,Heavy-Duty Cork Sheet,Wood,321,7.2,5.76,0.37,Yes
569,Laminated Polycarbonate,Plastic,1273,75.2,3.78,4.762,No
570,Industrial-Grade ABS Plastic,Plastic,1141,47.85,2.19,3.4,No
571,Woven Mushroom Mycelium,Eco,169,1.06,4.66,0.563,Yes
572,Waterproof PVC Film,Plastic,1427,44.9,2.16,2.744,No
573,Insulated Plywood,Wood,338,24.95,4.16,0.749,Yes
574,Standard Nylon Fabric,Plastic,1133,59.13,2.96,4.928,No
575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes
576,Woven Cork Sheet,Wood,260,6.4,5.12,0.325,Yes
577,Lightweight Polycarbonate,Plastic,989,53.58,2.6,3.524,No
578,Heavy-Duty Jute Burlap,Eco,1641,40.78,1.63,0.583,Yes
579,Lightweight Sheep Wool,Eco,1028,7.9,2.85,0.445,Yes
580,Woven Bamboo Sheet,Wood,788,59.87,2.79,0.675,Yes
581,Lightweight Cork Sheet,Wood,193,4.02,3.62,0.271,Yes
582,UV-Stabilized Polycarbonate,Plastic,1193,71.06,3.9,4.532,No
583,Recycled Polycarbonate,Plastic,1208,58.89,2.54,2.295,No
584,Heavy-Duty Corrugated Cardboard,Paper,755,8.14,1.08,1.046,Yes
585,UV-Stabilized Bubble Wrap (LDPE),Plastic,919,10.99,3.08,3.477,No
586,Commercial-Grade Nylon Fabric,Plastic,1150,60.01,3.15,5.001,No
587,Reinforced Molded Pulp,Paper,375,3.12,1.35,0.802,Yes
588,Standard Borosilicate Glass,Glass,2245,60.41,3.02,1.108,No
589,Single-Ply ABS Plastic,Plastic,966,28.9,1.65,2.88,No
590,Lightweight Polyurethane Foam,Plastic,25,0.41,1.56,2.762,No
591,Industrial-Grade Palm Leaf,Eco,543,17.77,1.3,0.434,Yes
592,Standard Hardboard,Wood,905,30.18,1.81,0.704,Yes
593,UV-Stabilized Polypropylene (PP),Plastic,894,38.04,1.94,2.49,No
594,Standard Plywood,Wood,675,41.52,2.59,0.623,Yes
595,Medical-Grade PET Plastic,Plastic,1405,67.19,3.36,2.688,No
596,Insulated Teflon Coating,Plastic,1084,14.78,12.61,9.459,No
597,UV-Stabilized Nylon Fabric,Plastic,1112,63.84,4.06,5.804,No
598,Laminated Recycled Denim,Eco,326,5.93,2.21,0.771,Yes
599,Double-Wall Bamboo Sheet,Wood,1004,77.42,3.21,0.803,Yes
600,Anti-Static Cornstarch Foam,Eco,41,0.52,2.9,1.369,Yes
601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes
602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes
