Material_ID,Material_Name,Category,Density_kg_m3,Tensile_Strength_MPa,CO2_Emission_kg,Cost_per_kg,Biodegradable
300,Waterproof Kraft Paper,Paper,889,50.53,0.889,1.33,Yes
301,Industrial-Grade Balsa Wood,Wood,182,12.41,0.455,3.98,Yes
302,Waterproof ABS Plastic,Plastic,1153,40.3,3.435,2.42,No
303,Medical-Grade ABS Plastic,Plastic,1022,47.19,3.657,5.9,No
304,Food-Grade Palm Leaf,Eco,499,14.96,0.399,1.8,Yes
305,Laminated Polyurethane Foam,Plastic,32,0.58,3.779,2.31,No
306,Heavy-Duty Bamboo Sheet,Wood,868,60.09,0.687,2.8,Yes
307,Food-Grade Hemp Composite,Eco,1116,50.74,1.015,4.41,Yes
308,Anti-Static Hardboard,Wood,937,31.22,0.801,2.62,Yes
309,Heavy-Duty PET Plastic,Plastic,1767,75.86,2.601,1.52,No
310,Food-Grade Hardboard,Wood,883,29.42,0.686,2.65,Yes
311,Double-Wall Teflon Coating,Plastic,3309,45.12,11.231,12.84,No
312,Double-Wall Bubble Wrap (LDPE),Plastic,1399,18.25,4.116,3.57,No
313,Double-Wall Hardboard,Wood,1315,52.62,0.955,2.81,Yes
314,Commercial-Grade Hardboard,Wood,928,30.92,0.722,1.95,Yes
315,Industrial-Grade Teflon Coating,Plastic,2513,31.15,9.138,9.14,No
316,Recycled Cotton Canvas,Eco,1525,36.6,0.915,2.01,Yes
317,Commercial-Grade Aluminum Foil,Metal,2826,47.09,12.558,4.4,No
318,Commercial-Grade Kraft Paper,Paper,805,50.31,0.805,1.16,Yes
319,Food-Grade PVC Film,Plastic,1267,43.85,2.436,2.63,No
320,Recycled PVC Film,Plastic,1279,39.86,1.476,1.59,No
321,Industrial-Grade Hardboard,Wood,1006,36.58,0.782,2.01,Yes
322,Laminated ABS Plastic,Plastic,1173,49.2,4.131,2.87,No
323,Double-Wall Mushroom Mycelium,Eco,232,1.48,0.722,5.77,Yes
324,Waterproof Sheep Wool,Eco,1386,9.69,0.533,3.72,Yes
325,Medical-Grade Balsa Wood,Wood,156,11.7,0.468,10.24,Yes
326,Fire-Retardant Cornstarch Foam,Eco,44,0.55,1.565,3.01,Yes
327,Anti-Static PLA Bioplastic,Eco,1228,59.44,1.961,3.88,Yes
328,Fire-Retardant Bagasse (Sugarcane),Eco,129,21.45,0.38,2.19,Yes
329,Reinforced Hardboard,Wood,1101,45.89,0.785,2.39,Yes
330,Fire-Retardant ABS Plastic,Plastic,1107,42.58,3.9,2.9,No
331,Perforated Steel Strap,Metal,7197,328.07,2.05,1.35,No
332,Standard Wax Paper,Paper,918,15.3,1.122,1.22,Yes
333,Standard Styrofoam (EPS),Plastic,24,0.39,3.207,1.46,No
334,Reinforced Corrugated Cardboard,Paper,705,8.82,0.97,1.02,Yes
335,Reinforced ABS Plastic,Plastic,1225,58.91,3.348,2.55,No
336,Commercial-Grade Teflon Coating,Plastic,2112,24,7.681,8.06,No
337,Insulated Borosilicate Glass,Glass,1150,37.14,1.362,4.95,No
338,Heavy-Duty PLA Bioplastic,Eco,1690,88.07,2.265,4.11,Yes
339,Single-Ply Bamboo Sheet,Wood,636,31.82,0.545,1.7,Yes
340,Commercial-Grade Wax Paper,Paper,890,14.84,1.088,1.25,Yes
341,Laminated Hardboard,Wood,972,35.35,0.894,2.47,Yes
342,Anti-Static Tissue Paper,Paper,253,1.01,0.891,2.13,Yes
343,Fire-Retardant Corrugated Cardboard,Paper,658,6.58,1.167,1.2,Yes
344,Reinforced Wax Paper,Paper,1120,23.34,1.255,1.62,Yes
345,Lightweight Borosilicate Glass,Glass,1739,46.8,0.965,2.63,No
346,Industrial-Grade Polycarbonate,Plastic,1321,78.03,4.182,3.08,No
347,Standard Acrylic Sheet,Plastic,1172,69.51,3.475,2.48,No
348,Anti-Static Mushroom Mycelium,Eco,151,0.81,0.554,4.93,Yes
349,Woven Wax Paper,Paper,981,19.32,1.199,1.55,Yes
350,Industrial-Grade Tissue Paper,Paper,280,1.22,0.897,1.68,Yes
351,Anti-Static Nylon Fabric,Plastic,1095,57.11,5.235,4,No
352,Anti-Static Steel Strap,Metal,7792,399.61,2.198,1.68,No
353,Waterproof Glass Jar,Glass,2670,48.54,0.854,1.75,No
354,Single-Ply Tissue Paper,Paper,233,0.72,0.745,1.24,Yes
355,Single-Ply Molded Pulp,Paper,280,1.45,0.653,0.83,Yes
356,Recycled Molded Pulp,Paper,285,1.71,0.399,0.86,Yes
357,Medical-Grade Acrylic Sheet,Plastic,1185,84.38,4.219,7.53,No
358,Insulated Glass Jar,Glass,1206,28.94,0.926,2.31,No
359,Double-Wall Nylon Fabric,Plastic,1789,112.01,7.26,4.98,No
360,Industrial-Grade Nylon Fabric,Plastic,1229,69.97,5.345,3.21,No
361,Double-Wall Jute Burlap,Eco,1917,53.09,0.688,1.89,Yes
362,Single-Ply PLA Bioplastic,Eco,1165,43.83,1.69,2.34,Yes
363,UV-Stabilized Cork Sheet,Wood,238,5.45,0.357,5.55,Yes
364,Laminated Glass Jar,Glass,2843,62.04,1.075,2.17,No
365,Perforated Balsa Wood,Wood,143,7.93,0.396,3.82,Yes
366,Heavy-Duty Polycarbonate,Plastic,1571,91.61,4.591,3.95,No
367,Commercial-Grade Bagasse (Sugarcane),Eco,123,20.43,0.306,1.61,Yes
368,Laminated Cornstarch Foam,Eco,42,0.57,1.488,2.67,Yes
369,Lightweight Teflon Coating,Plastic,1700,19.31,6.953,6.95,No
370,Double-Wall Balsa Wood,Wood,249,18.66,0.581,5.81,Yes
371,Laminated Corrugated Cardboard,Paper,656,7.16,1.163,1.11,Yes
372,Double-Wall Borosilicate Glass,Glass,3284,106.02,1.512,4.71,No
373,Recycled Cork Sheet,Wood,249,4.67,0.187,3.74,Yes
374,Woven Nylon Fabric,Plastic,1303,80.32,5.664,4.02,No
375,Reinforced Steel Strap,Metal,9125,584.93,2.145,1.52,No
376,Commercial-Grade Palm Leaf,Eco,498,14.93,0.398,1.25,Yes
377,Food-Grade Balsa Wood,Wood,167,10.47,0.419,5.5,Yes
378,Reinforced Borosilicate Glass,Glass,2781,93.53,1.257,4.05,No
379,Lightweight Pine Wood Crate,Wood,403,28.18,0.453,1.81,Yes
380,Fire-Retardant Borosilicate Glass,Glass,2496,67.16,1.455,4.58,No
381,Fire-Retardant Molded Pulp,Paper,318,2.12,0.878,1.45,Yes
382,Fire-Retardant Jute Burlap,Eco,1480,34.15,0.673,1.86,Yes
383,Double-Wall Cork Sheet,Wood,374,9.34,0.436,6.64,Yes
384,UV-Stabilized Molded Pulp,Paper,298,2.18,0.833,1.39,Yes
385,Medical-Grade Polyurethane Foam,Plastic,30,0.59,3.546,5.02,No
386,Anti-Static Polycarbonate,Plastic,1236,66.95,4.306,4.04,No
387,Perforated Pine Wood Crate,Wood,436,27.16,0.485,2.13,Yes
388,Double-Wall PLA Bioplastic,Eco,1917,111.28,2.597,4.62,Yes
389,Perforated PVC Film,Plastic,1185,36.46,2.532,2.01,No
390,UV-Stabilized HDPE Container,Plastic,976,28.25,2.342,1.87,No
391,Waterproof Wax Paper,Paper,1035,15.68,1.265,1.51,Yes
392,Fire-Retardant Plywood,Wood,741,45.57,0.808,3.88,Yes
393,Lightweight Bamboo Sheet,Wood,576,37,0.555,1.94,Yes
394,Commercial-Grade Borosilicate Glass,Glass,2174,58.5,1.073,3.07,No
395,Medical-Grade Recycled Denim,Eco,291,5.82,0.699,4.66,Yes
396,Woven ABS Plastic,Plastic,1184,53.82,3.529,2.69,No
397,Medical-Grade Styrofoam (EPS),Plastic,25,0.48,3.942,4.48,No
398,Perforated Polycarbonate,Plastic,1062,51.15,3.738,3.03,No
399,Industrial-Grade Cotton Canvas,Eco,1683,48.97,1.683,2.47,Yes
400,Commercial-Grade Tissue Paper,Paper,241,0.96,0.772,1.52,Yes
401,Heavy-Duty Glass Jar,Glass,3390,73.01,1.001,2.19,No
402,UV-Stabilized ABS Plastic,Plastic,1059,44.79,3.787,2.85,No
403,Standard Seaweed Film,Eco,1045,14.93,0.199,3.98,Yes
404,Woven Cotton Canvas,Eco,1703,53.69,1.703,2.95,Yes
405,Recycled Pine Wood Crate,Wood,484,30.47,0.29,1.74,Yes
406,Waterproof Mushroom Mycelium,Eco,170,0.82,0.567,4.33,Yes
407,Anti-Static Hemp Composite,Eco,1149,52.23,1.149,4.24,Yes
408,Lightweight PLA Bioplastic,Eco,999,48.34,1.631,2.54,Yes
409,Woven Acrylic Sheet,Plastic,1282,89.9,3.803,3.21,No
410,Laminated Balsa Wood,Wood,184,12.53,0.543,5.12,Yes
411,Anti-Static Teflon Coating,Plastic,2283,25.94,9.132,11.62,No
412,Insulated PVC Film,Plastic,665,27.64,3.071,2.95,No
413,Laminated Sheep Wool,Eco,1395,11.7,0.634,4.37,Yes
414,Perforated Tissue Paper,Paper,231,0.82,0.822,1.7,Yes
415,Perforated Palm Leaf,Eco,468,12.49,0.416,1.37,Yes
416,Food-Grade Molded Pulp,Paper,308,2.06,0.72,1.54,Yes
417,Lightweight Steel Strap,Metal,6082,311.88,1.754,1.05,No
418,Recycled Wax Paper,Paper,927,13.9,0.68,1.11,Yes
419,Perforated Nylon Fabric,Plastic,1064,49.35,5.141,3.39,No
420,Double-Wall Sheep Wool,Eco,1871,17.27,0.672,4.91,Yes
421,Waterproof Recycled Denim,Eco,316,4.79,0.632,1.84,Yes
422,Insulated Nylon Fabric,Plastic,599,37.5,6.25,5,No
423,Single-Ply Cornstarch Foam,Eco,36,0.35,1.091,1.62,Yes
424,Heavy-Duty Tissue Paper,Paper,335,1.44,0.99,2.17,Yes
425,Insulated Pine Wood Crate,Wood,241,20.23,0.578,3.08,Yes
426,Anti-Static Kraft Paper,Paper,795,49.66,0.874,1.53,Yes
427,Waterproof Cotton Canvas,Eco,1678,40.69,1.678,2.69,Yes
428,Standard Aluminum Foil,Metal,2753,45.89,12.236,4.08,No
429,Perforated Jute Burlap,Eco,1216,24.94,0.52,1.37,Yes
430,Recycled Bamboo Sheet,Wood,678,39.23,0.349,1.83,Yes
431,Standard Tissue Paper,Paper,247,0.99,0.79,1.48,Yes
432,Lightweight Nylon Fabric,Plastic,942,49.13,4.606,2.76,No
433,Standard Molded Pulp,Paper,296,1.97,0.691,0.99,Yes
434,Single-Ply Polypropylene (PP),Plastic,849,25.55,1.971,1.17,No
435,Commercial-Grade Acrylic Sheet,Plastic,1209,71.72,3.586,2.69,No
436,Heavy-Duty Polyurethane Foam,Plastic,40,0.72,3.69,2.44,No
437,Insulated Kraft Paper,Paper,394,29.55,0.946,1.73,Yes
438,Lightweight Glass Jar,Glass,2029,40.59,0.731,1.37,No
439,Commercial-Grade Tin Plate,Metal,8110,206.63,8.265,1.95,No
440,Medical-Grade PVC Film,Plastic,1248,51.82,2.879,5.18,No
441,Recycled HDPE Container,Plastic,987,23.37,1.184,1.22,No
442,Standard Hemp Composite,Eco,1152,52.35,1.047,3.04,Yes
443,Perforated Tin Plate,Metal,7044,159.52,7.976,1.97,No
444,Heavy-Duty Polypropylene (PP),Plastic,1176,48.96,2.518,1.96,No
445,Heavy-Duty Wax Paper,Paper,1133,20.34,1.278,1.63,Yes
446,Anti-Static Recycled Denim,Eco,308,5.13,0.677,2.3,Yes
447,Laminated Bagasse (Sugarcane),Eco,138,25.14,0.409,2.2,Yes
448,Reinforced Cork Sheet,Wood,293,7.62,0.335,5.28,Yes
449,Recycled Mushroom Mycelium,Eco,155,0.74,0.309,3.25,Yes
450,UV-Stabilized Pine Wood Crate,Wood,518,39.92,0.622,2.9,Yes
451,Anti-Static Borosilicate Glass,Glass,2224,59.83,1.207,4.19,No
452,UV-Stabilized Palm Leaf,Eco,491,16.2,0.471,1.65,Yes
453,Insulated Mushroom Mycelium,Eco,72,0.46,0.573,5.35,Yes
454,Commercial-Grade Polycarbonate,Plastic,1161,62.88,3.676,2.84,No
455,Standard ABS Plastic,Plastic,995,38.28,2.966,1.91,No
456,Medical-Grade HDPE Container,Plastic,930,29.38,2.233,3.82,No
457,Industrial-Grade Tin Plate,Metal,9058,251.75,9.231,2.08,No
458,Industrial-Grade Molded Pulp,Paper,335,2.44,0.782,1.12,Yes
459,Anti-Static Palm Leaf,Eco,512,15.36,0.451,1.72,Yes
460,Food-Grade PET Plastic,Plastic,1388,55.32,2.213,1.66,No
461,Single-Ply Cork Sheet,Wood,220,3.57,0.275,3.27,Yes
462,Perforated Plywood,Wood,560,30.61,0.574,2.63,Yes
463,Food-Grade Styrofoam (EPS),Plastic,26,0.42,3.436,2.34,No
464,Fire-Retardant Tissue Paper,Paper,269,1.08,1.019,2.2,Yes
465,Commercial-Grade Glass Jar,Glass,2390,47.8,0.765,1.51,No
466,Single-Ply Sheep Wool,Eco,1129,6.76,0.434,2.47,Yes
467,Waterproof Bamboo Sheet,Wood,761,44.49,0.653,2.49,Yes
468,Food-Grade Teflon Coating,Plastic,2118,24.06,7.701,11.55,No
469,Standard Sheep Wool,Eco,1349,10.38,0.519,3.32,Yes
470,Single-Ply Mushroom Mycelium,Eco,138,0.57,0.46,2.86,Yes
471,Heavy-Duty Kraft Paper,Paper,1027,69.12,0.948,1.52,Yes
472,Food-Grade Kraft Paper,Paper,768,48,0.768,1.58,Yes
473,Perforated Teflon Coating,Plastic,1944,19.64,7.855,8.64,No
474,Anti-Static Cork Sheet,Wood,234,4.89,0.322,5.47,Yes
475,Industrial-Grade Acrylic Sheet,Plastic,1343,86.89,3.983,2.84,No
476,Anti-Static ABS Plastic,Plastic,1000,38.48,3.28,2.69,No
477,Anti-Static Acrylic Sheet,Plastic,1183,70.16,3.859,3.51,No
478,Lightweight Balsa Wood,Wood,127,7.96,0.358,3.14,Yes
479,Anti-Static Glass Jar,Glass,2474,49.49,0.871,2.08,No
480,Industrial-Grade Borosilicate Glass,Glass,2363,69.35,1.165,3.18,No
481,Medical-Grade Cork Sheet,Wood,237,5.93,0.356,11.87,Yes
482,Standard Mushroom Mycelium,Eco,155,0.83,0.518,3.63,Yes
483,Fire-Retardant PET Plastic,Plastic,1450,57.78,2.732,1.58,No
484,Double-Wall Kraft Paper,Paper,1158,86.84,1.081,1.7,Yes
485,Laminated Palm Leaf,Eco,546,17.86,0.516,1.67,Yes
486,Recycled ABS Plastic,Plastic,1053,36.46,1.884,1.82,No
487,Recycled Styrofoam (EPS),Plastic,25,0.35,1.952,1.33,No
488,Industrial-Grade Cornstarch Foam,Eco,45,0.62,1.363,2.27,Yes
489,Anti-Static Jute Burlap,Eco,1361,31.4,0.576,1.76,Yes
490,Double-Wall Hemp Composite,Eco,1726,94.12,1.464,4.85,Yes
491,UV-Stabilized Cotton Canvas,Eco,1523,44.68,1.828,3.13,Yes
492,Recycled Aluminum Foil,Metal,2713,40.69,7.235,3.62,No
493,Laminated Pine Wood Crate,Wood,550,41.98,0.65,2.8,Yes
494,Industrial-Grade Bagasse (Sugarcane),Eco,128,23.26,0.32,1.6,Yes
495,Perforated Bagasse (Sugarcane),Eco,103,15.22,0.285,1.57,Yes
496,Insulated Seaweed Film,Eco,524,8.99,0.24,6.39,Yes
497,Laminated Jute Burlap,Eco,1403,35.31,0.638,1.65,Yes
498,Food-Grade Cork Sheet,Wood,243,5.06,0.304,6.07,Yes
499,Waterproof Polypropylene (PP),Plastic,1026,36.08,2.381,1.73,No
500,Standard PET Plastic,Plastic,1377,54.9,2.196,1.1,No
501,Perforated PET Plastic,Plastic,1181,41.82,2.091,1.15,No
502,Anti-Static Corrugated Cardboard,Paper,607,6.07,1.002,1.13,Yes
503,Recycled PET Plastic,Plastic,1360,48.77,1.3,0.98,No
504,Lightweight Bubble Wrap (LDPE),Plastic,759,8.25,2.691,2.04,No
505,Reinforced Tissue Paper,Paper,295,1.48,0.866,1.92,Yes
506,Reinforced Polyurethane Foam,Plastic,36,0.76,3.337,2.23,No
507,Double-Wall PET Plastic,Plastic,2124,101.6,3.161,1.81,No
508,Fire-Retardant Polyurethane Foam,Plastic,34,0.57,4.018,2.63,No
509,Food-Grade Tin Plate,Metal,7960,202.79,8.112,2.74,No
510,Reinforced Bamboo Sheet,Wood,855,68.68,0.672,2.78,Yes
511,Commercial-Grade Styrofoam (EPS),Plastic,25,0.4,3.308,1.58,No
512,Recycled PLA Bioplastic,Eco,1264,55.07,1.101,2.57,Yes
513,Insulated HDPE Container,Plastic,489,15.46,2.35,2.14,No
514,Heavy-Duty Borosilicate Glass,Glass,2983,86.44,1.358,4.32,No
515,Insulated Polyurethane Foam,Plastic,15,0.3,3.625,2.74,No
516,Commercial-Grade PET Plastic,Plastic,1311,52.25,2.09,1.1,No
517,UV-Stabilized Corrugated Cardboard,Paper,575,6.33,1.035,1.07,Yes
518,Heavy-Duty Pine Wood Crate,Wood,624,47.05,0.576,2.69,Yes
519,Medical-Grade Cornstarch Foam,Eco,40,0.59,1.426,5.94,Yes
520,Single-Ply Recycled Denim,Eco,265,3.43,0.529,1.25,Yes
521,Perforated Mushroom Mycelium,Eco,135,0.64,0.502,3.86,Yes
522,Reinforced Kraft Paper,Paper,922,72.04,0.845,1.37,Yes
523,Fire-Retardant Seaweed Film,Eco,1192,17.04,0.268,6.19,Yes
524,Fire-Retardant Pine Wood Crate,Wood,567,39.67,0.67,3.09,Yes
525,Waterproof Teflon Coating,Plastic,2440,25.21,8.874,9.68,No
526,Commercial-Grade Sheep Wool,Eco,1341,10.31,0.516,3.47,Yes
527,Anti-Static Aluminum Foil,Metal,2619,43.65,12.803,5.43,No
528,Woven Kraft Paper,Paper,880,65.02,0.88,1.43,Yes
529,UV-Stabilized Styrofoam (EPS),Plastic,26,0.46,4.144,2.2,No
530,Recycled Kraft Paper,Paper,801,45.05,0.481,0.99,Yes
531,Medical-Grade Polycarbonate,Plastic,1142,74.24,4.34,8,No
532,Single-Ply Acrylic Sheet,Plastic,1070,49.38,3.174,2.02,No
533,Perforated PLA Bioplastic,Eco,1108,47.65,1.787,3.06,Yes
534,Double-Wall Cotton Canvas,Eco,2338,74.82,2.182,3.66,Yes
535,Laminated Tin Plate,Metal,8415,233.88,10.135,2.46,No
536,Medical-Grade Polypropylene (PP),Plastic,899,41.71,2.503,4.17,No
537,Heavy-Duty Molded Pulp,Paper,389,2.79,0.838,1.4,Yes
538,Commercial-Grade Hemp Composite,Eco,1104,50.19,1.004,3.06,Yes
539,Reinforced Bubble Wrap (LDPE),Plastic,1122,15.25,3.242,2.91,No
540,Commercial-Grade Steel Strap,Metal,8043,412.48,2.062,1.3,No
541,Medical-Grade Pine Wood Crate,Wood,491,41.2,0.589,5.89,Yes
542,Fire-Retardant HDPE Container,Plastic,1058,27.84,2.5,1.97,No
543,Standard Balsa Wood,Wood,166,10.37,0.415,3.63,Yes
544,Waterproof Steel Strap,Metal,8472,394.96,2.172,1.42,No
545,Reinforced Mushroom Mycelium,Eco,178,1.18,0.542,4.49,Yes
546,Recycled Nylon Fabric,Plastic,1202,56.44,3.135,2.82,No
547,Single-Ply Bubble Wrap (LDPE),Plastic,866,7.32,2.729,1.84,No
548,UV-Stabilized Glass Jar,Glass,2529,55.63,0.971,2.12,No
549,Single-Ply Hemp Composite,Eco,1036,36.64,0.942,2.43,Yes
550,Laminated Kraft Paper,Paper,868,59.17,1.026,1.52,Yes
551,Perforated Sheep Wool,Eco,1185,8.1,0.506,3.56,Yes
552,Reinforced Palm Leaf,Eco,622,23.32,0.456,1.62,Yes
553,UV-Stabilized Recycled Denim,Eco,287,5.27,0.69,2.15,Yes
554,Heavy-Duty Balsa Wood,Wood,206,13.88,0.476,4.86,Yes
555,Insulated Tissue Paper,Paper,127,0.61,0.973,2.43,Yes
556,Recycled Jute Burlap,Eco,1341,27.84,0.309,1.11,Yes
557,Commercial-Grade Cork Sheet,Wood,249,5.18,0.311,4.35,Yes
558,Waterproof Corrugated Cardboard,Paper,663,6.03,0.995,0.97,Yes
559,Waterproof PET Plastic,Plastic,1587,57.52,2.531,1.38,No
560,Standard PVC Film,Plastic,1292,44.73,2.485,1.79,No
561,Heavy-Duty HDPE Container,Plastic,1196,33.91,2.209,1.76,No
562,Perforated Bamboo Sheet,Wood,617,35.24,0.587,2.26,Yes
563,Perforated Bubble Wrap (LDPE),Plastic,851,8.22,2.981,2.49,No
564,UV-Stabilized Sheep Wool,Eco,1263,10.69,0.583,4.35,Yes
565,Anti-Static HDPE Container,Plastic,939,24.7,2.065,1.8,No
566,Woven Teflon Coating,Plastic,2529,33.97,9.197,10.87,No
567,Insulated Hemp Composite,Eco,566,30.85,1.234,4.77,Yes
568,Heavy-Duty Cork Sheet,Wood,321,7.2,0.37,5.76,Yes
569,Laminated Polycarbonate,Plastic,1273,75.2,4.762,3.78,No
570,Industrial-Grade ABS Plastic,Plastic,1141,47.85,3.4,2.19,No
571,Woven Mushroom Mycelium,Eco,169,1.06,0.563,4.66,Yes
572,Waterproof PVC Film,Plastic,1427,44.9,2.744,2.16,No
573,Insulated Plywood,Wood,338,24.95,0.749,4.16,Yes
574,Standard Nylon Fabric,Plastic,1133,59.13,4.928,2.96,No
575,Woven PLA Bioplastic,Eco,1311,74.97,1.903,3.5,Yes
576,Woven Cork Sheet,Wood,260,6.4,0.325,5.12,Yes
577,Lightweight Polycarbonate,Plastic,989,53.58,3.524,2.6,No
578,Heavy-Duty Jute Burlap,Eco,1641,40.78,0.583,1.63,Yes
579,Lightweight Sheep Wool,Eco,1028,7.9,0.445,2.85,Yes
580,Woven Bamboo Sheet,Wood,788,59.87,0.675,2.79,Yes
581,Lightweight Cork Sheet,Wood,193,4.02,0.271,3.62,Yes
582,UV-Stabilized Polycarbonate,Plastic,1193,71.06,4.532,3.9,No
583,Recycled Polycarbonate,Plastic,1208,58.89,2.295,2.54,No
584,Heavy-Duty Corrugated Cardboard,Paper,755,8.14,1.046,1.08,Yes
585,UV-Stabilized Bubble Wrap (LDPE),Plastic,919,10.99,3.477,3.08,No
586,Commercial-Grade Nylon Fabric,Plastic,1150,60.01,5.001,3.15,No
587,Reinforced Molded Pulp,Paper,375,3.12,0.802,1.35,Yes
588,Standard Borosilicate Glass,Glass,2245,60.41,1.108,3.02,No
589,Single-Ply ABS Plastic,Plastic,966,28.9,2.88,1.65,No
590,Lightweight Polyurethane Foam,Plastic,25,0.41,2.762,1.56,No
591,Industrial-Grade Palm Leaf,Eco,543,17.77,0.434,1.3,Yes
592,Standard Hardboard,Wood,905,30.18,0.704,1.81,Yes
593,UV-Stabilized Polypropylene (PP),Plastic,894,38.04,2.49,1.94,No
594,Standard Plywood,Wood,675,41.52,0.623,2.59,Yes
595,Medical-Grade PET Plastic,Plastic,1405,67.19,2.688,3.36,No
596,Insulated Teflon Coating,Plastic,1084,14.78,9.459,12.61,No
597,UV-Stabilized Nylon Fabric,Plastic,1112,63.84,5.804,4.06,No
598,Laminated Recycled Denim,Eco,326,5.93,0.771,2.21,Yes
599,Double-Wall Bamboo Sheet,Wood,1004,77.42,0.803,3.21,Yes
600,Anti-Static Cornstarch Foam,Eco,41,0.52,1.369,2.9,Yes
